"";"FALSE";"TRUE"
"01";84,6808510638298;15,3191489361702
"02";95,4887218045113;4,51127819548872
"03";96,7741935483871;3,2258064516129
"04";94,5945945945946;5,40540540540541
"05";92,5373134328358;7,46268656716418
"06";96,7213114754098;3,27868852459016
"07";56,969696969697;43,030303030303
"08";95,4545454545455;4,54545454545455
"09";93,9393939393939;6,06060606060606
"10";98,7012987012987;1,2987012987013
"11";94,9275362318841;5,07246376811594
"12";98,4615384615385;1,53846153846154
"13";93,1623931623932;6,83760683760684
"14";93,4782608695652;6,52173913043478
"15";97,4683544303797;2,53164556962025
"16";97,3214285714286;2,67857142857143
"17";96;4
"18";89,5833333333333;10,4166666666667
"19";95,5752212389381;4,42477876106195
"21";93,5064935064935;6,49350649350649
"22";95,2662721893491;4,73372781065089
"23";98,1132075471698;1,88679245283019
"24";95,1492537313433;4,85074626865672
"25";94,1176470588235;5,88235294117647
"26";89,5061728395062;10,4938271604938
"27";94,3181818181818;5,68181818181818
"28";95,2054794520548;4,79452054794521
"29";90,9502262443439;9,04977375565611
"2A";94,2857142857143;5,71428571428571
"2B";83,3333333333333;16,6666666666667
"30";93,3701657458564;6,62983425414365
"31";94,9308755760369;5,06912442396313
"32";97,3684210526316;2,63157894736842
"33";93,0656934306569;6,93430656934307
"34";92,6108374384236;7,38916256157635
"35";89,7872340425532;10,2127659574468
"36";85,0746268656716;14,9253731343284
"37";87,8378378378378;12,1621621621622
"38";86,685552407932;13,314447592068
"39";92,7272727272727;7,27272727272727
"40";99,1228070175439;0,87719298245614
"41";94,0740740740741;5,92592592592593
"42";86,8421052631579;13,1578947368421
"43";95,2380952380952;4,76190476190476
"44";96,9387755102041;3,06122448979592
"45";92,156862745098;7,84313725490196
"46";98,1651376146789;1,8348623853211
"47";95,4022988505747;4,59770114942529
"48";88,8888888888889;11,1111111111111
"49";96,734693877551;3,26530612244898
"50";94,1176470588235;5,88235294117647
"51";91,4893617021277;8,51063829787234
"52";95,1219512195122;4,8780487804878
"53";95,5223880597015;4,47761194029851
"54";93,6416184971098;6,35838150289017
"55";88,7096774193548;11,2903225806452
"56";97;3
"57";91,0344827586207;8,96551724137931
"58";98,780487804878;1,21951219512195
"59";93,3333333333333;6,66666666666667
"60";94,5147679324894;5,48523206751055
"61";86,3636363636364;13,6363636363636
"62";93,8709677419355;6,12903225806452
"63";70,7446808510638;29,2553191489362
"64";97,3856209150327;2,61437908496732
"65";92,5925925925926;7,40740740740741
"66";96,8992248062015;3,10077519379845
"67";90,7142857142857;9,28571428571429
"68";97,6415094339623;2,35849056603774
"69";89,5652173913044;10,4347826086957
"70";91,1392405063291;8,86075949367089
"71";98,2142857142857;1,78571428571429
"72";88,0597014925373;11,9402985074627
"73";92,1182266009852;7,88177339901478
"74";94,6428571428571;5,35714285714286
"75";100;0
"76";96,5648854961832;3,43511450381679
"77";91,2457912457912;8,75420875420875
"78";96,1538461538462;3,84615384615385
"79";95,4128440366973;4,58715596330275
"80";98,6754966887417;1,32450331125828
"81";95,1612903225807;4,83870967741935
"82";98,936170212766;1,06382978723404
"83";86,8613138686131;13,1386861313869
"84";93,8053097345133;6,19469026548673
"85";94,9308755760369;5,06912442396313
"86";94,8148148148148;5,18518518518519
"87";91,6666666666667;8,33333333333333
"88";94,5945945945946;5,40540540540541
"89";95,8620689655172;4,13793103448276
"90";97,4358974358974;2,56410256410256
"91";95,9183673469388;4,08163265306122
"92";100;0
"93";97,5;2,5
"94";100;0
"95";90,4109589041096;9,58904109589041
"97";89,6103896103896;10,3896103896104
