Geometry X Y;Geometry;INSEE;CHOM75;CHOM82;CHOM90;CHOM99;CHOM2006;CHOM2007;CHOM2008;Chom2009;TxChom2009
49.123747842, 2.07303216331;"{""type"": ""Polygon"", ""coordinates"": [[[2.09211752797456, 49.11635576678552], [2.072856256583076, 49.10082752846335], [2.065663125914253, 49.10136830408533], [2.060411982638679, 49.10973704288263], [2.050085067106259, 49.109495875782976], [2.04754845033648, 49.12162976432213], [2.064511070559645, 49.13150934523069], [2.067295224128606, 49.1436651314733], [2.084703000636097, 49.14916326086554], [2.091930983467224, 49.145716694413025], [2.085481034590181, 49.139048128820015], [2.08999852155559, 49.13741225520162], [2.088476178718929, 49.12943240372118], [2.093429586325571, 49.12812107831693], [2.09211752797456, 49.11635576678552]]]}";95213;4.0;12.0;9.0;16.0;25;24.76;10.74;10.88;3.333333
49.1398576107, 1.94414606667;"{""type"": ""Polygon"", ""coordinates"": [[[1.963819824641026, 49.145192149296264], [1.949288170381955, 49.13136698807023], [1.944258408121596, 49.12968621537518], [1.937433814906218, 49.134797576441926], [1.933920070726176, 49.13207844724805], [1.924179810628085, 49.139867614498634], [1.931349887703073, 49.14468635397094], [1.959631308798259, 49.14798422021267], [1.963819824641026, 49.145192149296264]]]}";95110;4.0;5.0;5.0;9.0;4;3.99;4.0;3.77;3.636363
49.1280205014, 2.43601413245;"{""type"": ""Polygon"", ""coordinates"": [[[2.461213890439956, 49.136711087740146], [2.430567783992094, 49.114636035934126], [2.425923993933817, 49.11739606419557], [2.415707416717967, 49.12232347296844], [2.414211108820605, 49.12617804943019], [2.423340762384777, 49.13247092141333], [2.435497144166486, 49.13403818967656], [2.457879568300254, 49.14071639758194], [2.461213890439956, 49.136711087740146]]]}";95149;31.0;64.0;74.0;132.0;146;95.29;95.15;95.0;5.722892
49.1167919503, 1.75444655872;"{""type"": ""Polygon"", ""coordinates"": [[[1.7666539647711, 49.13240304698242], [1.771921814191364, 49.12954237999934], [1.767039986181217, 49.123879629281376], [1.781492195749177, 49.11810511984043], [1.776867489101763, 49.10788459029738], [1.759694847376567, 49.102808297680866], [1.754067827370921, 49.08982993337956], [1.742810768219559, 49.094520426933016], [1.741180505314435, 49.0991253659863], [1.745117918095154, 49.10771608898232], [1.738365034970475, 49.11449772442129], [1.730170797814776, 49.12469768289186], [1.741713044984806, 49.13796887168282], [1.7666539647711, 49.13240304698242]]]}";95270;5.0;12.0;17.0;22.0;26;26.2;26.54;21.41;7.308969
49.0907190523, 1.90441369149;"{""type"": ""Polygon"", ""coordinates"": [[[1.913793079481247, 49.107910608641454], [1.926092695647386, 49.102653038822965], [1.922050611508779, 49.09468879549526], [1.904354773038672, 49.074686195925935], [1.899248571485721, 49.06544010765481], [1.896298600502672, 49.066283123420064], [1.890761308674251, 49.0717383659434], [1.893796981299177, 49.0751314751924], [1.887872856478021, 49.07781527144295], [1.892696823353745, 49.08179994051377], [1.886786921473582, 49.08433085843775], [1.890509798290241, 49.09508292961519], [1.905870266906048, 49.1113019184734], [1.912799803834515, 49.1083331180112], [1.913793079481247, 49.107910608641454]]]}";95610;3.0;4.0;4.0;5.0;7;7.0;7.08;6.89;5.147059
49.0924616764, 2.37109970152;"{""type"": ""Polygon"", ""coordinates"": [[[2.391022374271339, 49.10169431263145], [2.388088652417468, 49.090553284013936], [2.396463655208164, 49.08649352062471], [2.379410742517126, 49.0783806605339], [2.375613632357084, 49.071763348579516], [2.370276244358432, 49.07281717594547], [2.362478913393983, 49.081847885672616], [2.349678336253882, 49.08101369893304], [2.34397088308667, 49.08989001437046], [2.361656449130873, 49.10707266102635], [2.391149959818152, 49.110182998802635], [2.391022374271339, 49.10169431263145]]]}";95056;24.0;41.0;49.0;71.0;50;51.0;51.48;52.27;5.231029
49.082842463, 2.65545716215;"{""type"": ""Polygon"", ""coordinates"": [[[2.69110196848412, 49.07052147817913], [2.679248918531449, 49.070539527589595], [2.680496041116915, 49.06682175092946], [2.67408017492041, 49.06524908444217], [2.653303997427374, 49.06935513453458], [2.645969435191573, 49.065229469130664], [2.644411187522559, 49.06333617830936], [2.634850003667964, 49.06413483555645], [2.636128310807177, 49.07864590608583], [2.631945721133385, 49.07971790637917], [2.636804081649761, 49.08850925149393], [2.619614425135958, 49.09465906518139], [2.634035440391969, 49.10857039861745], [2.6411553329749, 49.09918123565137], [2.65049228696826, 49.10084671572985], [2.673078700916456, 49.091106420520816], [2.695063034517447, 49.07505954393974], [2.69110196848412, 49.07052147817913]]]}";77349;63.0;169.0;194.0;265.0;237;237.03;236.91;291.17;8.521892
49.0973875129, 2.18012934537;"{""type"": ""Polygon"", ""coordinates"": [[[2.20930972377385, 49.093587303844544], [2.208303230330641, 49.090960305416054], [2.194618797646658, 49.09282364433136], [2.195165014991346, 49.08857075884968], [2.183521880158302, 49.08571409125121], [2.173464476427184, 49.08812825191721], [2.159826749691515, 49.103575536942714], [2.160552718381739, 49.107398567532634], [2.181026561879181, 49.10856126150127], [2.198571167376735, 49.09460903315979], [2.20930972377385, 49.093587303844544]]]}";95628;19.0;29.0;41.0;36.0;52;52.41;48.84;48.44;7.570977
49.0945549251, 2.43748353501;"{""type"": ""Polygon"", ""coordinates"": [[[2.449811226020722, 49.100841902823625], [2.449154757190601, 49.09521308955401], [2.434390091338131, 49.08695323200989], [2.422820625364845, 49.08694447427901], [2.425732379334004, 49.09202316116507], [2.44112051111031, 49.10365583894717], [2.449811226020722, 49.100841902823625]]]}";95331;2.0;4.0;3.0;5.0;7;6.46;6.74;7.0;6.930693
49.0904766182, 2.00777364575;"{""type"": ""Polygon"", ""coordinates"": [[[2.027003574800242, 49.09644128320168], [2.015924130339721, 49.077543905588], [2.005438254849616, 49.07754105922817], [1.994813132861847, 49.08382281638038], [1.990450078042387, 49.08515863784925], [1.993765277205837, 49.102659647525144], [1.999196921160886, 49.09948332103385], [2.005216626176642, 49.10245052198925], [2.015592546100011, 49.09910773887328], [2.017698774491336, 49.10166757401909], [2.027003574800242, 49.09644128320168]]]}";95422;3.0;8.0;4.0;17.0;11;10.95;11.0;11.03;4.954955
