Geometry X Y;Geometry;INSEE;CHOM75;CHOM82;CHOM90;CHOM99;CHOM2006;CHOM2007;CHOM2008;Chom2009;TxChom2009
48.6194548099, 2.08244968502;"{""type"": ""Polygon"", ""coordinates"": [[[2.117707666035661, 48.637632302132346], [2.11733263523395, 48.621112049886015], [2.100169569029574, 48.61353275126115], [2.077189449581056, 48.59913924577169], [2.067883668987717, 48.59504391622202], [2.060701949593956, 48.59688815706511], [2.054864396875412, 48.60788982957527], [2.056988624028931, 48.61115043232779], [2.059848956044816, 48.61647356177143], [2.054442061248847, 48.61781669823765], [2.042429777629977, 48.6262393338679], [2.049524442238984, 48.6309426892764], [2.05742641052296, 48.62741028143115], [2.06752823468555, 48.63076196858033], [2.090402947944646, 48.63043618938117], [2.100201448779853, 48.641122336019514], [2.117707666035661, 48.637632302132346]]]}";91249;23.0;56.0;55.0;95.0;127;94.54;95.27;96.0;4.875571
48.6259997349, 2.25222423655;"{""type"": ""Polygon"", ""coordinates"": [[[2.281598649942641, 48.62698504424435], [2.276151274785085, 48.62208127852199], [2.264633207073749, 48.623504365551305], [2.257609199034284, 48.613427940053676], [2.236968706914443, 48.6131059134914], [2.232480534817852, 48.61921686376269], [2.223576917688253, 48.62186115935526], [2.225514970403039, 48.62866150675317], [2.243226915765016, 48.63145621014129], [2.24420665928643, 48.63717633197354], [2.253280200634592, 48.63935958865191], [2.275063882818511, 48.634850231555866], [2.281598649942641, 48.62698504424435]]]}";91339;49.0;112.0;155.0;263.0;251;238.47;240.73;243.0;7.258065
48.610518517, 2.16479444816;"{""type"": ""Polygon"", ""coordinates"": [[[2.201923927953432, 48.62857298916502], [2.182171129337478, 48.62884457515655], [2.172843189200833, 48.61893958849868], [2.177645704211288, 48.61434219020416], [2.177357102032029, 48.60704876113239], [2.169632466589984, 48.60163308181866], [2.176978995947384, 48.59385605831155], [2.173542744361889, 48.587538359212196], [2.147192736113599, 48.58384640045824], [2.146229986679046, 48.58751377303309], [2.153001008832101, 48.589242527712166], [2.151644478135732, 48.596830089052695], [2.156836693379986, 48.59689239439548], [2.15897589473652, 48.60149998703984], [2.151338229633196, 48.60992286054207], [2.142644911823195, 48.61013314679374], [2.143241227202097, 48.62070951634969], [2.160368686087159, 48.62938833751439], [2.173352166248969, 48.625037333033646], [2.181687030858456, 48.63182947372225], [2.187866841516091, 48.63859122145201], [2.201923927953432, 48.62857298916502]]]}";91243;10.0;30.0;26.0;45.0;67;67.45;60.86;62.43;6.432267
48.5881554201, 1.8685661631;"{""type"": ""Polygon"", ""coordinates"": [[[1.876864744898823, 48.63496132763084], [1.892614030289675, 48.62924159905654], [1.889854062016302, 48.62235130060851], [1.877459244157004, 48.61905547919738], [1.874893494896473, 48.61344257185158], [1.928828767553974, 48.582066598274615], [1.914117747775284, 48.577921088606935], [1.909690711768737, 48.566285927630304], [1.895667399095134, 48.563201738250555], [1.90243549561954, 48.55767035000652], [1.893546741314428, 48.55330148843311], [1.896594307254672, 48.53794482711167], [1.894088020991405, 48.535003454059904], [1.88571195656803, 48.537079167332024], [1.884851913046878, 48.53747078981151], [1.876605469497691, 48.53953813109162], [1.873706455112405, 48.5484201307795], [1.855061323069163, 48.556247112684495], [1.85567608771023, 48.56275147786595], [1.841168773181804, 48.55832755898351], [1.832417595146187, 48.56365768461667], [1.832176432321085, 48.57144435693805], [1.824214904910114, 48.59328816127249], [1.830935580794208, 48.62037768022354], [1.859464007914321, 48.635635994578465], [1.876864744898823, 48.63496132763084]]]}";78601;11.0;19.0;40.0;38.0;65;65.68;54.88;54.94;6.698277
48.6215268906, 2.41185045504;"{""type"": ""Polygon"", ""coordinates"": [[[2.431456381158847, 48.612372677640884], [2.427118334296066, 48.61327549487751], [2.407657439186117, 48.61342428479834], [2.407881376285268, 48.60878394617013], [2.39990918195219, 48.6098857955394], [2.395867342116705, 48.61934648040932], [2.39615757014796, 48.62527422252504], [2.400961273484415, 48.62657553199197], [2.403307431472704, 48.62608856944295], [2.406408724654653, 48.63212076243376], [2.407552079826109, 48.634754897256855], [2.412911376986215, 48.635930711769326], [2.412926680545758, 48.63595641475123], [2.417925904941081, 48.63144761490335], [2.424775489950347, 48.630544627164795], [2.423747984430138, 48.624797715560625], [2.431456381158847, 48.612372677640884]]]}";91182;72.0;141.0;492.0;818.0;1010;1023.09;1051.73;1039.27;14.539894
48.6047167102, 2.51659843401;"{""type"": ""Polygon"", ""coordinates"": [[[2.542415022442714, 48.60866445263691], [2.541553369280812, 48.59696654763844], [2.534121542065291, 48.58949785811567], [2.518333634157029, 48.58314849101859], [2.512449042616811, 48.58645460179181], [2.50718761226735, 48.58312448054549], [2.504881076329095, 48.584976776286226], [2.49924331294624, 48.60603675430954], [2.49028499978423, 48.60756901434548], [2.486253738869238, 48.615326079196144], [2.503219623657279, 48.61921422990065], [2.515788286909716, 48.62926688427426], [2.526786810380236, 48.621200540126154], [2.525711690841473, 48.61309993058492], [2.542415022442714, 48.60866445263691]]]}";91573;20.0;55.0;82.0;201.0;300;303.43;304.53;294.38;6.956646
48.6005604407, 2.18705663384;"{""type"": ""Polygon"", ""coordinates"": [[[2.201923927953432, 48.62857298916502], [2.203199488206774, 48.62843960760118], [2.197483840365297, 48.62515942023692], [2.197785484511438, 48.61914371734527], [2.208349717163055, 48.61452495417435], [2.205972838158051, 48.6106913822078], [2.21357682309186, 48.60674313513057], [2.202098397176347, 48.59915831359483], [2.201233832052883, 48.5930063444951], [2.203371868985051, 48.5843040443029], [2.21274851915762, 48.585384798720824], [2.213298136573765, 48.58237288038153], [2.19927719148137, 48.579883794654464], [2.17427704910539, 48.57848386644011], [2.166326539066691, 48.581080053983854], [2.152841915242257, 48.577228148898534], [2.147192736113599, 48.58384640045824], [2.173542744361889, 48.587538359212196], [2.176978995947384, 48.59385605831155], [2.169632466589984, 48.60163308181866], [2.177357102032029, 48.60704876113239], [2.177645704211288, 48.61434219020416], [2.172843189200833, 48.61893958849868], [2.182171129337478, 48.62884457515655], [2.201923927953432, 48.62857298916502]]]}";91115;17.0;67.0;54.0;118.0;91;90.56;90.94;91.96;5.429936
48.8701732598, 2.22054841409;"{""type"": ""Polygon"", ""coordinates"": [[[2.232744900832528, 48.86969138210623], [2.225652162164757, 48.85937898583646], [2.203992519867053, 48.860551897436125], [2.199846933367565, 48.861374338408496], [2.202082881546279, 48.86614317208771], [2.207839738703059, 48.86436025138171], [2.213480280173052, 48.87083228655037], [2.207977814697213, 48.87418951693001], [2.223609051638365, 48.8827581950641], [2.236446246746236, 48.87965868273543], [2.232744900832528, 48.86969138210623]]]}";92073;652.0;1295.0;1386.0;1917.0;2320;2240.66;2252.18;2181.28;8.717148
48.8636722132, 1.9477870063;"{""type"": ""Polygon"", ""coordinates"": [[[1.968911705560216, 48.86075549618714], [1.961319256700208, 48.851845813034075], [1.951760195984868, 48.85092366399417], [1.949922322176401, 48.854199847805546], [1.921705907621666, 48.858300384715555], [1.929788484132301, 48.868203687929956], [1.948090606071914, 48.8758214980477], [1.944751663462102, 48.87738383527997], [1.949709084843512, 48.88157344823323], [1.95662367798718, 48.87781068060745], [1.952217204717289, 48.872867824266386], [1.956499733784565, 48.8690691921938], [1.970346312674195, 48.865823095781245], [1.968911705560216, 48.86075549618714]]]}";78196;2.0;5.0;3.0;8.0;12;8.75;8.38;8.0;4.938272
48.8586669827, 2.99251845051;"{""type"": ""Polygon"", ""coordinates"": [[[3.026458576535518, 48.85937329402739], [3.00389717850097, 48.84582877167406], [2.995026881089042, 48.835538168456885], [2.987947038494887, 48.83584857995269], [2.973110374650276, 48.84640024576509], [2.970006761232043, 48.855203764512986], [2.959754673198094, 48.86252657895453], [2.976777986290946, 48.870930933430465], [2.977114440210628, 48.87588425295085], [3.001441334255919, 48.878218413994375], [3.026458576535518, 48.85937329402739]]]}";77270;9.0;14.0;17.0;18.0;24;24.43;25.0;25.23;6.510574
48.8590832281, 2.11319359995;"{""type"": ""Polygon"", ""coordinates"": [[[2.124010018660325, 48.87459439964819], [2.122103226231973, 48.87101169175428], [2.134022916292243, 48.86307486826836], [2.124587337241908, 48.8575361266121], [2.122353399160489, 48.85095821005165], [2.119833460514801, 48.84760812225562], [2.108497554340953, 48.85040973730301], [2.110639537156753, 48.840854652584106], [2.103217911151768, 48.84302494581246], [2.092505997487244, 48.846410778513906], [2.095354848654946, 48.85459131046344], [2.10755261709021, 48.8543826624981], [2.103841440177494, 48.864051407494685], [2.109267434491123, 48.87273142473744], [2.119768553958923, 48.87806662744952], [2.124010018660325, 48.87459439964819]]]}";78350;89.0;149.0;183.0;221.0;188;187.87;188.0;188.56;6.197917
48.864617729, 2.50976634467;"{""type"": ""Polygon"", ""coordinates"": [[[2.520421561349276, 48.87458185840361], [2.524492813636939, 48.8732353210018], [2.516251030388014, 48.86736725975755], [2.519622216948982, 48.86111192114434], [2.516061256746681, 48.856315405744056], [2.520802406600613, 48.852234132348144], [2.515566339973621, 48.851325177467515], [2.513668033085319, 48.85015007476995], [2.505475215763326, 48.85722180534085], [2.500060292407861, 48.85587175535882], [2.496164469222758, 48.86068840371607], [2.500947636206453, 48.87285787365505], [2.505662037956121, 48.87211360057449], [2.509404142191816, 48.87799829673075], [2.520421561349276, 48.87458185840361]]]}";93049;359.0;555.0;707.0;967.0;1077;1067.14;1107.21;1105.62;10.368017
48.8532883073, 2.84775797654;"{""type"": ""Polygon"", ""coordinates"": [[[2.862766182234392, 48.87189060923709], [2.857222047194641, 48.868399758569204], [2.86609638426247, 48.86200991690559], [2.861139675157293, 48.85727550529631], [2.860503938771893, 48.842206194491055], [2.858519599435398, 48.83877097614756], [2.850776939471965, 48.84097342166702], [2.849562270773366, 48.83019632281367], [2.840968521050666, 48.833004457378244], [2.83957887042206, 48.84241722154998], [2.831654215706844, 48.84391879906837], [2.828056213021196, 48.850807526925564], [2.835648995536926, 48.86083405530925], [2.84703994250789, 48.87245657954082], [2.855637334508665, 48.870682194076586], [2.860170720038419, 48.87527490297055], [2.862766182234392, 48.87189060923709]]]}";77141;4.0;14.0;25.0;23.0;36;43.95;29.78;31.87;6.193079
48.8633429057, 2.13704445882;"{""type"": ""Polygon"", ""coordinates"": [[[2.150336247561627, 48.87081851754094], [2.155853048678816, 48.8675099393143], [2.153740629463796, 48.86441216759671], [2.143638591678696, 48.86140090846293], [2.140175964569039, 48.854695358588906], [2.122353399160489, 48.85095821005165], [2.124587337241908, 48.8575361266121], [2.134022916292243, 48.86307486826836], [2.122103226231973, 48.87101169175428], [2.124010018660325, 48.87459439964819], [2.13101985282863, 48.87073135813266], [2.150336247561627, 48.87081851754094]]]}";78092;114.0;230.0;246.0;332.0;285;285.0;285.56;285.27;6.710767
48.8579307238, 1.58788526233;"{""type"": ""Polygon"", ""coordinates"": [[[1.598646770123193, 48.84896119387928], [1.586834838872749, 48.843389312275185], [1.577360548979192, 48.8445946462854], [1.58431511637204, 48.86041475481973], [1.571910830054049, 48.86402845950407], [1.578014366917461, 48.87047235445815], [1.580670931294394, 48.86700963166497], [1.595861136910421, 48.87218142022435], [1.599516467484705, 48.85921899860771], [1.593955760376611, 48.855567678769056], [1.598646770123193, 48.84896119387928]]]}";78076;2.0;4.0;4.0;10.0;4;3.91;4.0;4.04;2.985075
48.8454452088, 3.19976050002;"{""type"": ""Polygon"", ""coordinates"": [[[3.220739140168125, 48.83119743335863], [3.220682103642786, 48.831053981139775], [3.21227274595049, 48.82459866437025], [3.201793047017941, 48.82426499320671], [3.183697570031238, 48.82619950981361], [3.17576785793112, 48.83978414499839], [3.165192121835274, 48.835499667344784], [3.161916343211436, 48.83841027726172], [3.173495798812565, 48.84807472723168], [3.176157032920195, 48.854773223891115], [3.209598319527838, 48.8709082543918], [3.223210883032328, 48.85983128859133], [3.228405274005306, 48.84470880700964], [3.219974941969324, 48.83879380327473], [3.220739140168125, 48.83119743335863]]]}";77406;1.0;18.0;29.0;34.0;35;35.34;36.0;36.5;7.531379
48.8535177267, 1.77344958193;"{""type"": ""Polygon"", ""coordinates"": [[[1.791551221232778, 48.85445247621704], [1.778035779363362, 48.83233633112336], [1.774881390278737, 48.830612175421194], [1.761028650854906, 48.84118182397806], [1.767199182462789, 48.849612237580885], [1.758446295927584, 48.85586331835916], [1.758486450471698, 48.8688044434438], [1.774719927805843, 48.872599618223525], [1.783715574940439, 48.86788626125233], [1.785226782806406, 48.855780030948786], [1.791551221232778, 48.85445247621704]]]}";78681;3.0;10.0;9.0;25.0;26;26.0;26.41;26.22;7.471265
48.8525895181, 3.0327528925;"{""type"": ""Polygon"", ""coordinates"": [[[3.042571234376045, 48.871073904101536], [3.044872757445145, 48.86707567050486], [3.056478027076422, 48.86457495323304], [3.050951929078037, 48.85280156698445], [3.030936207314053, 48.83938130187867], [3.018473859091323, 48.84064352145885], [3.00389717850097, 48.84582877167406], [3.026458576535518, 48.85937329402739], [3.034989589410114, 48.859614149566355], [3.040352327103354, 48.86359626443261], [3.039934973856221, 48.87167472306942], [3.042571234376045, 48.871073904101536]]]}";77206;1.0;2.0;5.0;5.0;3;2.93;3.0;3.2;4.687501
48.8548314208, 1.64265454057;"{""type"": ""Polygon"", ""coordinates"": [[[1.659063019231903, 48.86723227490711], [1.655147227669683, 48.864511031314706], [1.660756107170683, 48.860020874903554], [1.649883044011708, 48.853867626470546], [1.655645759021996, 48.85102438511301], [1.652169332456398, 48.845203040046975], [1.647928820787141, 48.83854061755816], [1.64172628634739, 48.83880875930359], [1.623693436674509, 48.84889565061979], [1.632902027086085, 48.85871934224211], [1.627188532890389, 48.859871049519796], [1.642780903470296, 48.87058778199716], [1.659063019231903, 48.86723227490711]]]}";78474;1.0;5.0;16.0;15.0;12;12.75;13.0;14.37;4.452054
48.8578989518, 2.74043712914;"{""type"": ""Polygon"", ""coordinates"": [[[2.752384982458487, 48.85093365193248], [2.743208862936772, 48.846955868793664], [2.732175772155847, 48.852570220217544], [2.72686299403932, 48.859755833191095], [2.729566822346186, 48.8690452072185], [2.736457882324198, 48.86822092099929], [2.743206169978106, 48.861632280874225], [2.754540528194797, 48.86420829534883], [2.752384982458487, 48.85093365193248]]]}";77085;10.0;5.0;21.0;53.0;76;75.68;69.7;72.83;6.731621
48.8582929683, 2.6949267537;"{""type"": ""Polygon"", ""coordinates"": [[[2.709646314526555, 48.864813416630895], [2.709730074061699, 48.85417456727401], [2.697315204941575, 48.85416949431134], [2.682684557920024, 48.849088815794815], [2.676137039662887, 48.85806535504309], [2.690219552965112, 48.86054064243187], [2.690948911570691, 48.86534956918556], [2.696654985552376, 48.86650979881363], [2.709646314526555, 48.864813416630895]]]}";77209;10.0;19.0;23.0;46.0;37;37.24;52.9;52.95;9.029193
48.8483474689, 2.59638990527;"{""type"": ""Polygon"", ""coordinates"": [[[2.610743205003897, 48.83030919318591], [2.593065691590504, 48.83347974762012], [2.586844900607385, 48.83436584310405], [2.574090166245095, 48.85344885036925], [2.583298584154917, 48.855443750169734], [2.587489824566811, 48.86502998461672], [2.599642377011921, 48.86647750748859], [2.608973805908831, 48.858776220739095], [2.614012775268574, 48.85021556518906], [2.611187583923686, 48.841729030740936], [2.610710759698076, 48.83183805279456], [2.610743205003897, 48.83030919318591]]]}";77083;75.0;544.0;770.0;1385.0;1338;1340.19;1440.35;1411.51;10.81936
48.8464870386, 2.61919823616;"{""type"": ""Polygon"", ""coordinates"": [[[2.61700140056518, 48.86131790308395], [2.629604080277469, 48.85733083693667], [2.629383703201167, 48.85230440006656], [2.638049820726601, 48.84542931425769], [2.61919557374981, 48.838786830448186], [2.623369098621491, 48.827787177738344], [2.6163715429556, 48.82596099873836], [2.611060280244707, 48.826054819535464], [2.610743205003897, 48.83030919318591], [2.610710759698076, 48.83183805279456], [2.611187583923686, 48.841729030740936], [2.614012775268574, 48.85021556518906], [2.608973805908831, 48.858776220739095], [2.599642377011921, 48.86647750748859], [2.61700140056518, 48.86131790308395]]]}";77337;56.0;552.0;663.0;1114.0;1145;1035.66;1066.39;1069.73;13.524575
48.8603420049, 2.57640431902;"{""type"": ""Polygon"", ""coordinates"": [[[2.587489824566811, 48.86502998461672], [2.583298584154917, 48.855443750169734], [2.574090166245095, 48.85344885036925], [2.56718640183023, 48.857545720428156], [2.567415816844171, 48.86587261250922], [2.587489824566811, 48.86502998461672]]]}";93033;81.0;123.0;158.0;228.0;194;194.93;196.0;200.86;6.229676
48.8433853111, 3.27093052186;"{""type"": ""Polygon"", ""coordinates"": [[[3.263114536109425, 48.8603145507979], [3.297234822926402, 48.84924007985965], [3.288671273020261, 48.83754838526147], [3.29329953015046, 48.82742792235826], [3.290808292303016, 48.823950327245946], [3.280970052421261, 48.825866926444675], [3.265234779390025, 48.833712592608336], [3.246054963518199, 48.833768271951854], [3.246303641195625, 48.840664265095604], [3.252909162500399, 48.845710666645736], [3.247761084283102, 48.851058055156315], [3.253077192385953, 48.8600089210684], [3.25881809217439, 48.86088897712247], [3.263114536109425, 48.8603145507979]]]}";77417;1.0;1.0;5.0;16.0;10;9.0;9.0;9.0;8.333333
48.8490187718, 2.33283805594;"{""type"": ""Polygon"", ""coordinates"": [[[2.344605226820202, 48.85405498852881], [2.336524242396298, 48.83977479873959], [2.324561734159827, 48.843686022037815], [2.316712626878263, 48.846850380644184], [2.328579635052978, 48.8518427911358], [2.333007785601137, 48.85928001315948], [2.344605226820202, 48.85405498852881]]]}";75106;1180.0;1492.0;1492.0;1758.0;1718;1777.68;1764.88;1775.51;8.286809
48.8463105517, 1.8367443456;"{""type"": ""Polygon"", ""coordinates"": [[[1.83909846990995, 48.83000205428674], [1.832644982089349, 48.83374176557185], [1.835286702335275, 48.845992799736024], [1.829132557580884, 48.84970893042385], [1.825022542242219, 48.85036277520655], [1.824390634425146, 48.85349847953226], [1.836963231911078, 48.856773699119124], [1.847915810152011, 48.85032823084006], [1.841774674404379, 48.844402394611734], [1.83909846990995, 48.83000205428674]]]}";78588;5.0;9.0;13.0;14.0;17;17.44;18.0;18.73;3.938731
48.8457355638, 2.67973342558;"{""type"": ""Polygon"", ""coordinates"": [[[2.698614572016719, 48.84920131857483], [2.691682664021069, 48.840203227195715], [2.684751928537364, 48.83880368841077], [2.674644823896813, 48.84387941220368], [2.674401940387221, 48.84521031768855], [2.672854781606884, 48.84643028809618], [2.6699629835341, 48.84786385009742], [2.666569603051918, 48.844576272861076], [2.668309254408818, 48.840983926992614], [2.658496781755641, 48.83839507776027], [2.657592441174402, 48.839701586549396], [2.660133181959684, 48.84702317471216], [2.662606217375672, 48.85013708838286], [2.682684557920024, 48.849088815794815], [2.697315204941575, 48.85416949431134], [2.698614572016719, 48.84920131857483]]]}";77059;8.0;11.0;10.0;19.0;20;20.78;21.09;28.8;7.474227
48.8368682165, 2.23937144949;"{""type"": ""Polygon"", ""coordinates"": [[[2.262570485492366, 48.83382454191979], [2.251019855434353, 48.825453177453184], [2.23645489246383, 48.82142152858677], [2.23276152307351, 48.82272216987356], [2.223716543113314, 48.835564226413396], [2.223948129347942, 48.853558991035015], [2.2526610513764, 48.84554422449889], [2.251814545520451, 48.83860118589702], [2.262570485492366, 48.83382454191979]]]}";92012;2193.0;3421.0;3951.0;5166.0;5860;5542.11;5524.53;5437.45;8.965964
48.8308750313, 2.76267256938;"{""type"": ""Polygon"", ""coordinates"": [[[2.785035896118016, 48.828363770147334], [2.770420436533272, 48.820497511888085], [2.777048064299706, 48.809204018048206], [2.762493868345457, 48.80610276582921], [2.755269045349546, 48.81311698066694], [2.751126549607937, 48.81438211584865], [2.746115781769562, 48.83261980119413], [2.750603885628045, 48.83340397836933], [2.743208862936772, 48.846955868793664], [2.752384982458487, 48.85093365193248], [2.7741484930224, 48.85109513206353], [2.777640811588697, 48.842304614629356], [2.772211520980037, 48.83842253916129], [2.785035896118016, 48.828363770147334]]]}";77237;1.0;18.0;10.0;14.0;26;26.28;21.5;21.27;6.645571
48.832752104, 1.72482845665;"{""type"": ""Polygon"", ""coordinates"": [[[1.740533754733492, 48.838108894697065], [1.735315713460373, 48.83475409877207], [1.740163221231148, 48.830390960255265], [1.733551070238904, 48.82076965055467], [1.71333792969618, 48.81557992782908], [1.713500161807882, 48.8308779441426], [1.708490846479498, 48.83168682334643], [1.719164524914558, 48.84858902280641], [1.734313752774883, 48.84661059316844], [1.740533754733492, 48.838108894697065]]]}";78053;4.0;8.0;7.0;11.0;19;18.83;9.62;9.81;4.524885
48.8327804518, 2.10488250265;"{""type"": ""Polygon"", ""coordinates"": [[[2.110639537156753, 48.840854652584106], [2.1207557062589, 48.836063116453985], [2.112683608130123, 48.82866444796205], [2.102792416382703, 48.82343774390566], [2.089294168731003, 48.82650276341447], [2.103217911151768, 48.84302494581246], [2.110639537156753, 48.840854652584106]]]}";78524;37.0;95.0;95.0;115.0;89;89.2;89.0;88.09;5.971446
48.8277283487, 2.67701111754;"{""type"": ""Polygon"", ""coordinates"": [[[2.687561887180014, 48.83109143629407], [2.679613986855458, 48.828648306307315], [2.692541954264902, 48.815578087141496], [2.688100833406125, 48.812093775636974], [2.680349987353449, 48.810966133563035], [2.674647102106259, 48.82733217240766], [2.665650615781396, 48.832448402672725], [2.660452359134572, 48.83534996558746], [2.658496781755641, 48.83839507776027], [2.668309254408818, 48.840983926992614], [2.67142163702396, 48.841255663531776], [2.672881803389524, 48.840725713383534], [2.687561887180014, 48.83109143629407]]]}";77121;3.0;11.0;66.0;135.0;161;159.29;173.61;173.83;9.753363
48.8205365366, 1.88331702463;"{""type"": ""Polygon"", ""coordinates"": [[[1.901458390163682, 48.82194757915676], [1.898389881264127, 48.814705535357966], [1.887451763045839, 48.81059818084368], [1.893867213826957, 48.808797714048225], [1.893845826751874, 48.8050835639454], [1.88595895603041, 48.80404545671802], [1.881568718278492, 48.80908812438287], [1.866737945346966, 48.81392301828148], [1.870712130539592, 48.81993759904481], [1.864467256967122, 48.822178131319156], [1.875030649445092, 48.83444274636366], [1.882002886724351, 48.83470456346106], [1.892090001215973, 48.83073038544083], [1.901458390163682, 48.82194757915676]]]}";78683;15.0;26.0;47.0;64.0;57;58.0;58.16;58.69;4.168149
48.8069369297, 1.66708041673;"{""type"": ""Polygon"", ""coordinates"": [[[1.704389109343627, 48.801843287618674], [1.703179815752204, 48.79952536915816], [1.640744395360272, 48.79220958965508], [1.628264790767557, 48.803553921292], [1.654027068041146, 48.81314485722756], [1.655832039598338, 48.82153719553278], [1.668007913124923, 48.82352477416192], [1.67734732254841, 48.832005653962916], [1.677834175466774, 48.8209739903069], [1.692567666252382, 48.81062625423834], [1.697818650126197, 48.81099753921139], [1.704389109343627, 48.801843287618674]]]}";78048;8.0;14.0;30.0;40.0;40;36.94;37.48;38.0;5.114401
48.8205838469, 2.70741652706;"{""type"": ""Polygon"", ""coordinates"": [[[2.721039645628083, 48.80637587226381], [2.713880926232466, 48.806714518549605], [2.702192329768804, 48.814751231772945], [2.692541954264902, 48.815578087141496], [2.679613986855458, 48.828648306307315], [2.687561887180014, 48.83109143629407], [2.72062920199792, 48.82906627898196], [2.728657504442227, 48.82632313412099], [2.721216486310358, 48.818695514136024], [2.729445696923645, 48.814018164147264], [2.72813673440992, 48.80859995784441], [2.721771375599827, 48.809448967575854], [2.721039645628083, 48.80637587226381]]]}";77181;11.0;27.0;25.0;51.0;70;72.0;72.0;72.51;6.255431
48.7964259843, 2.70762323525;"{""type"": ""Polygon"", ""coordinates"": [[[2.721039645628083, 48.80637587226381], [2.728089964816712, 48.79745794567554], [2.735595335515336, 48.7811098663068], [2.730007725146431, 48.78004114040002], [2.713928728898681, 48.77531126880078], [2.712226911137928, 48.78238527759917], [2.704721876450873, 48.78143851915671], [2.694244213557658, 48.79474530323182], [2.680891898486159, 48.794822327684145], [2.676238190226565, 48.80101435721108], [2.686067566074644, 48.80215772800155], [2.680349987353449, 48.810966133563035], [2.688100833406125, 48.812093775636974], [2.692541954264902, 48.815578087141496], [2.702192329768804, 48.814751231772945], [2.713880926232466, 48.806714518549605], [2.721039645628083, 48.80637587226381]]]}";77374;23.0;43.0;47.0;73.0;77;76.43;57.85;57.91;5.508051
48.7955159386, 1.81996983392;"{""type"": ""Polygon"", ""coordinates"": [[[1.848695171044903, 48.812597227252375], [1.841733555916303, 48.80065159512932], [1.836214912142586, 48.78089701677819], [1.834293384635528, 48.77578957364812], [1.827994095813202, 48.78106746303624], [1.812969855185124, 48.78376925014722], [1.799357281472866, 48.77784248978295], [1.787948336134973, 48.77965867732102], [1.790422031292445, 48.782395424786166], [1.791072195704581, 48.79135552948927], [1.800560330439312, 48.792470701770156], [1.811982815094386, 48.802515010353204], [1.804659225933732, 48.810098107920815], [1.811035067238276, 48.814902930369094], [1.829527317071834, 48.810867892512974], [1.848695171044903, 48.812597227252375]]]}";78389;13.0;26.0;19.0;50.0;39;38.92;39.0;39.14;5.151915
48.8092491498, 2.35657041783;"{""type"": ""Polygon"", ""coordinates"": [[[2.367253458573796, 48.80805324999059], [2.347891578000168, 48.8014651549652], [2.345074304665947, 48.80544918418714], [2.355779061362709, 48.81599635610251], [2.36445319719151, 48.8160665006567], [2.367253458573796, 48.80805324999059]]]}";94043;364.0;628.0;779.0;1224.0;1536;1540.11;1567.94;1721.23;12.008227
48.8027638273, 2.17047987297;"{""type"": ""Polygon"", ""coordinates"": [[[2.176815592189356, 48.81401533061347], [2.181963413058269, 48.800650184385425], [2.182954078995337, 48.79724326535508], [2.168202961588282, 48.78795983242145], [2.158868045540681, 48.79905171100353], [2.163764974804601, 48.80398729629535], [2.158174736031843, 48.8101657028801], [2.16143333843833, 48.8127516924656], [2.16929283820046, 48.81591998312274], [2.176815592189356, 48.81401533061347]]]}";78686;208.0;312.0;305.0;414.0;503;444.26;484.7;477.18;6.156716
48.7991705402, 2.49369438657;"{""type"": ""Polygon"", ""coordinates"": [[[2.480136745406128, 48.813497561265024], [2.516040593398849, 48.80896837296656], [2.522407861662988, 48.804066117586856], [2.52291143992514, 48.793112089559834], [2.517102200061878, 48.78632288440308], [2.512484574180018, 48.78514304516134], [2.486992518267642, 48.784145331594104], [2.474781998291529, 48.787676958861745], [2.464067508672395, 48.80742854673172], [2.46057333149127, 48.809365842776934], [2.473865937972108, 48.81580742907774], [2.480136745406128, 48.813497561265024]]]}";94068;1395.0;2629.0;2511.0;3145.0;2940;2962.66;2906.7;2882.34;7.625576
48.8048605143, 2.01966188182;"{""type"": ""Polygon"", ""coordinates"": [[[2.024895489404436, 48.81180337431598], [2.048569194324233, 48.80319661219747], [2.05019001699646, 48.7983355878731], [2.042236212522804, 48.79904372496948], [2.026963713992351, 48.79673703888364], [1.996211012915712, 48.79921224538139], [2.000387179041137, 48.81373009699884], [2.012617761200077, 48.815375248648095], [2.024895489404436, 48.81180337431598]]]}";78073;138.0;280.0;232.0;348.0;352;389.17;382.52;408.87;5.756894
48.7882103105, 3.33363834449;"{""type"": ""Polygon"", ""coordinates"": [[[3.359006468305145, 48.79816812869307], [3.353715255315786, 48.786388835244516], [3.346022767222405, 48.786250387769165], [3.323208038787826, 48.75786861073914], [3.31748436691965, 48.75663197576686], [3.315522956022012, 48.76895205398043], [3.321281391812655, 48.77738336481724], [3.309572450663128, 48.78192678948474], [3.321559826396099, 48.79214842422092], [3.333170998252141, 48.792173385062284], [3.325530312354907, 48.79947979167384], [3.317257183048616, 48.80036968908614], [3.328131077761196, 48.81044731801201], [3.341154225577641, 48.81005450178346], [3.355540915334813, 48.80377520112896], [3.359006468305145, 48.79816812869307]]]}";77423;2.0;12.0;16.0;30.0;32;32.4;38.99;39.5;10.84011
