Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
127;Métro;ARTS ET METIERS;3836852;3;11;;;;Paris;3
129;Métro;LEDRU-ROLLIN;3830872;8;;;;;Paris;12
135;Métro;MARX DORMOY;3708018;12;;;;;Paris;18
124;Métro;VICTOR HUGO;3870906;2;;;;;Paris;16
153;Métro;PARMENTIER;3455199;3;;;;;Paris;11
150;Métro;SENTIER;3484652;3;;;;;Paris;3
134;Métro;MALAKOFF-PLATEAU DE VANVES;3735305;13;;;;;Malakoff;
145;Métro;LOUISE MICHEL;3543857;3;;;;;Levallois-Perret;
87;Métro;BONNE NOUVELLE;4932874;8;9;;;;Paris;10
75;Métro;REAUMUR-SEBASTOPOL;5326171;3;4;;;;Paris;
73;Métro;BERCY;5359847;6;14;;;;Paris;
93;Métro;PORTE DE PANTIN;4749922;5;;;;;Paris;19
92;Métro;PLAISANCE;4821682;13;;;;;Paris;14
101;Métro;LAUMIERE;4582224;5;;;;;Paris;19
121;Métro;CHARONNE;3980318;9;;;;;Paris;12
67;Métro;LA COURNEUVE-8 MAI 1945;5665476;7;;;;;La Courneuve;
74;Métro;MAIRIE DE MONTROUGE;5346471;4;;;;;Montrouge;
77;Métro;GABRIEL PERI;5278348;13;;;;;Asnières;
7;RER;CHARLES DE GAULLE-ETOILE-RER;9429351;A;;;;;Paris;17
295;Métro;SAINT-FARGEAU;823762;3bis;;;;;Paris;8
285;Métro;SAINT-GEORGES;1286815;12;;;;;Paris;9
1;RER;GARE DU NORD-RER;48205117;B;;;;;Paris;10
280;Métro;CHEMIN VERT;1488841;8;;;;;Paris;11
17;RER;MARNE-LA-VALLEE-CHESSY;5078380;A;;;;;Montévrain;
279;Métro;AVENUE EMILE ZOLA;1551758;10;;;;;Paris;
18;RER;NANTERRE-UNIVERSITE;5045960;A;;;;;Nanterre;
5;RER;NANTERRE-PREFECTURE;23817046;A;;;;;Nanterre;
8;RER;MASSY-PALAISEAU;8615200;B;;;;;Massy;
233;Métro;TRINITE-D'ESTIENNE D'ORVES;2302331;12;;;;;Paris;9
172;Métro;LAMARCK-CAULAINCOURT;3094805;12;;;;;Paris;18
219;Métro;CLUNY LA SORBONNE;2483282;10;;;;;Paris;5
174;Métro;PORTE DE CHOISY;3088532;7;;;;;Paris;13
218;Métro;RUE DU BAC;2529823;12;;;;;Paris;7
200;Métro;MARAICHERS;2807675;9;;;;;Paris;20
213;Métro;ABBESSES;2555092;12;;;;;Paris;18
195;Métro;TUILERIES;2877169;1;;;;;Paris;1
166;Métro;LOUVRE;3174681;1;;;;;Paris;1
190;Métro;BILLANCOURT;2903875;9;;;;;Boulogne Billancourt;
12;Métro;CHATELET;12502708;1;4;7;11;14;Paris;1
62;Métro;JAURES;5960472;2;5;7bis;;;Paris;19
14;Métro;FRANKLIN D. ROOSEVELT;12053554;1;9;;;;Paris;8
11;Métro;HOTEL DE VILLE;12621901;1;11;;;;Paris;4
19;Métro;TROCADERO;9516364;6;9;;;;Paris;16
56;Métro;VILLIERS;6257050;2;3;;;;Paris;17
63;Métro;MARCEL SEMBAT;5916640;9;;;;;Boulogne Billancourt;
17;Métro;ESPLANADE DE LA DEFENSE;9992248;1;;;;;Puteaux;
43;Métro;CHATEAU ROUGE;6879272;4;;;;;Paris;
242;Métro;MICHEL-ANGE-MOLITOR;2091229;9;10;;;;Paris;16
227;Métro;LOUIS BLANC;2386942;7;7bis;;;;Paris;10
220;Métro;MAUBERT-MUTUALITE;2480448;10;;;;;Paris;5
235;Métro;LE PELETIER;2258996;7;;;;;Paris;9
221;Métro;TELEGRAPHE;2465718;11;;;;;Paris;20
236;Métro;BEL AIR;2249229;6;;;;;Paris;12
223;Métro;RIQUET;2452712;7;;;;;Paris;19
229;Métro;IENA;2383490;9;;;;;Paris;16
234;Métro;FRONT POPULAIRE;2287004;12;;;;;Saint Denis / Aubervilliers;
228;Métro;LES AGNETTES;2386282;13;;;;;Asnières sur Seine;
148;Métro;DUROC;3515234;10;13;;;;Paris;7
133;Métro;PORTE DE SAINT-OUEN;3776345;13;;;;;Paris;17
103;Métro;PORTE DE BAGNOLET;4495023;3;;;;;Paris;20
144;Métro;CENSIER-DAUBENTON;3566470;7;;;;;Paris;6
143;Métro;POISSONNIERE;3569568;7;;;;;Paris;10
122;Métro;CHATEAU D'EAU;3967264;4;;;;;Paris;10
